Time,AS 10093 Mean,AS 10093 SD,AS 10093 N,caffeine 20mM Mean,caffeine 20mM SD,caffeine 20mM N,Column8,Column9,Column10,CalA Mean,CalA SD,CalA N,Ctrl Mean,Ctrl SD,Ctrl N,H2O2 100uM Mean,H2O2 100uM SD,H2O2 100uM N,H2O2 200uM Mean,H2O2 200uM SD,H2O2 200uM N,H2O2 50uM Mean,H2O2 50uM SD,H2O2 50uM N,isoproterenol 100nM Mean,isoproterenol 100nM SD,isoproterenol 100nM N
00:00:00.0,1.0,0.09171923201510732,336,1.0,0.10143033956527628,301,,,,1.0,0.11982481583674821,260,1.0,0.11168506809267038,286,1.0,0.11402039695631108,423,1.0,0.11254657828316034,607,1.0,0.10491404816979168,476,1.0,0.11907844027125267,480
00:00:05.0,1.0021185618603294,0.09286379068210451,333,0.9977367275182275,0.10269993214950036,305,,,,0.9997106533306427,0.12040827116627069,264,1.0061091733957104,0.11308265510527311,289,1.012442055185847,0.11494290687751126,428,0.9926199543267092,0.10831425123805008,615,0.9989490221145113,0.10396303709989671,475,1.0014359270680175,0.12052580209458659,475
00:00:10.0,0.989752297780983,0.09651657460608426,332,0.9948557871303918,0.10236294886582595,300,,,,1.0001591214368701,0.12549067857744584,263,1.0024069262609068,0.1159736989814308,296,1.0068908795289888,0.11409361544652559,422,0.9921712815636902,0.11268809292776522,608,0.9975615234762026,0.10723671612458391,473,1.0043152453839903,0.12086072513127359,471
00:00:15.0,0.9976212581339909,0.09263748467581279,327,0.9933990125046585,0.10062564518280787,292,,,,1.0038078940911979,0.12124697994713265,257,0.9955914824642503,0.11196392596125283,289,1.011851624978204,0.1132266568335888,418,0.9905413797728586,0.10963147102183499,605,0.9993001555469614,0.10516922099306056,474,1.006412683937845,0.12097202725568754,483
00:00:20.0,0.9962280373006245,0.09258002430465118,327,0.9890831885871088,0.09893133409553277,296,,,,0.9950299331495494,0.11877732268202694,257,0.9901897331097081,0.11341720332305195,295,1.0091640946690859,0.1142815577096956,426,0.9871786685989802,0.11191024459454303,603,0.9939021956043974,0.10500936553635523,474,0.9984098351659038,0.11799200623020939,484
00:00:25.0,0.9883438260033085,0.09605702470917282,340,0.9844513336830849,0.10152251268486609,291,,,,0.9922425189846448,0.12071304799285223,262,0.9964340138713615,0.11040412132390055,297,1.0140810150538961,0.11727064964800268,416,0.990955038209547,0.11082795467192563,606,0.9939352906714091,0.10383653506174616,474,0.9948061928972095,0.11998159578013486,480
00:00:30.0,1.0029275632284254,0.09279639574983858,327,0.9820781628855808,0.10322003687552134,299,,,,1.0108748759169035,0.12625734275992265,257,1.0027139274519203,0.11776575562530775,282,1.017933982642496,0.11824780648997232,421,1.0087616944325197,0.11100901360180457,587,1.0058007587040818,0.10713901647559344,465,1.01612527409992,0.1252231350321058,452
00:00:35.0,1.001790740596912,0.09373097327728348,328,0.9796137418608537,0.10257040113585762,299,,,,1.03141248385561,0.1287297873832578,260,1.051992848941699,0.12431526186561735,272,1.038225409416912,0.12425618525726433,424,1.0711301885456215,0.1250788288789363,567,1.061287278157821,0.10706389358798711,449,1.0837722097321218,0.13555575418854404,434
00:00:40.0,0.9907043966940692,0.10084204762895814,328,0.9874588203978393,0.09857815804333844,293,,,,1.091813212789385,0.12723519321823393,244,1.107072139428916,0.13630278753098687,258,1.080224642807027,0.127250183359016,414,1.160376984618042,0.1504304909946652,538,1.1208524344316526,0.11864157850566714,450,1.1771191285666829,0.14988865206015822,419
00:00:45.0,0.9993354229368503,0.09715854776802091,324,0.9814721992653056,0.1009156802541621,290,,,,1.1411367223177948,0.13848520058918484,245,1.1525218537872106,0.14169202756478275,261,1.1146684527376445,0.13091081435993565,414,1.231587032637186,0.1758193852652829,530,1.1750428979263305,0.13473301081570283,442,1.2631930651939245,0.1703406561917302,409
