Time,1Hz 15sec (Mean),1Hz 15sec (SD),1Hz 15sec (N),1Hz 30sec (Mean),1Hz 30sec (SD),1Hz 30sec (N),1Hz 60sec (Mean),1Hz 60sec (SD),1Hz 60sec (N),1Hz 90sec (Mean),1Hz 90sec (SD),1Hz 90sec (N),Column14,Column15,Column16,Column17,Column18,Time(sec)
00:00:00.0,1.0,0.05662513625481702,378,1.0,0.05092273326450477,403,1.0,0.058384387355649645,381,1.0,0.10919497643312086,392,,,,0.0,,0
00:00:05.0,1.0037179142733603,0.060012342748077444,388,0.9937694441655892,0.04948622833518619,407,0.9966575932332594,0.05959618852482395,372,0.9960241370534082,0.09365647952975382,391,,,,5.78704e-5,,5
00:00:10.0,0.997622843656832,0.0556291275132377,400,0.9932220320365764,0.04888177422147343,395,1.0007639146775698,0.058852236747636316,374,0.9947252182753057,0.09478901839873613,382,,,,0.000115741,,10
00:00:15.0,0.9971285096026081,0.05571266209892212,395,0.9905896804012857,0.04982964856856852,397,0.9999067478875663,0.0575792047958215,379,0.997657164385742,0.10621269089477318,395,,,,0.000173611,,15
00:00:20.0,0.99565989884293,0.05570427078852771,381,0.9913754797500888,0.04668331971091552,400,1.0019016925894264,0.05698851557895259,373,0.9943251439822935,0.10646189755031393,383,,,,0.000231481,,20
00:00:25.0,0.9968216137817786,0.05554064235584757,389,0.9912355580428854,0.050450133115903587,422,1.0025784750399775,0.0573565069160901,390,0.993271982738222,0.11023256793399434,391,,,,0.000289352,,25
00:00:30.0,0.9980557197595861,0.05496656252182599,399,0.9965522296145751,0.04977406655949034,395,1.0048887817693244,0.060204992587022395,379,0.9915219514665059,0.09223770055912639,375,,,,0.000347222,,30
00:00:35.0,1.0103960147920126,0.05705159905562979,379,1.0055874818912338,0.05421958046199441,410,1.0141806951632941,0.06066936673345308,382,1.0013466050993567,0.10544276270229533,390,,,,0.000405093,,35
00:00:40.0,1.0220680169497918,0.06044475645724282,368,1.0172161473751864,0.0556321842343621,390,1.0268523677815358,0.06210685830325668,376,1.0120207311643632,0.10085904886443453,376,,,,0.000462963,,40
00:00:45.0,1.03048928347969,0.06151549672950433,380,1.031216399389994,0.057754273253935035,386,1.037663748676317,0.06583037483138822,380,1.021406231357172,0.09699971125404842,373,,,,0.000520833,,45
00:00:50.0,1.0218362134469061,0.05859746639427393,382,1.0403672300018287,0.06641043158370927,391,1.0442019678214502,0.06588177729659168,370,1.03062144402745,0.09578700620229269,385,,,,0.000578704,,50
00:00:55.0,1.0131368215675578,0.056038600394768795,376,1.0486973595672269,0.06869024223111461,401,1.049569208075753,0.06608833114023749,369,1.0351244822721997,0.08082199145050972,386,,,,0.000636574,,55
00:01:00.0,1.0058138091931885,0.053754707096195294,371,1.0488164278371535,0.06676584270020071,394,1.0566330631484906,0.06862409337882823,375,1.0451453391041687,0.10831927656193718,381,,,,0.000694444,,60
00:01:05.0,0.9982190291884867,0.05456718443703998,381,1.0338233626312692,0.06071787743180573,390,1.0606632986930846,0.07103487418137494,374,1.0424950668565063,0.08569559020102072,369,,,,0.000752315,,65
00:01:10.0,0.9985968721283155,0.05557878597235752,376,1.0231694433652934,0.05561117756897372,401,1.061759136364498,0.06788648366904237,372,1.0490220466805933,0.09884513799118205,365,,,,0.000810185,,70
00:01:15.0,0.992924583280344,0.05421146731567217,382,1.0121010702588775,0.05015945609798547,402,1.0650055584981042,0.0739685257648691,358,1.0482461875447493,0.08592167288119283,367,,,,0.000868056,,75
00:01:20.0,0.9911136756061543,0.051342846102106154,391,1.004338958713331,0.04963032072984486,390,1.0635485328926253,0.07007993732022191,373,1.0481956901642313,0.07058085799598264,366,,,,0.000925926,,80
00:01:25.0,0.991165890311326,0.05347676730549289,383,0.9963516652970612,0.04654848790316232,397,1.0654864061950282,0.06894549314561713,364,1.0492163954242164,0.0879957903619231,368,,,,0.000983796,,85
00:01:30.0,0.9900725291403053,0.05318152884487142,385,0.9922000749526745,0.04477237526895647,395,1.0571106265508232,0.06877594821825844,372,1.0538376518172268,0.10279919760286786,362,,,,0.001041667,,90
00:01:35.0,0.9923840630602355,0.05640970578666858,374,0.9888054957164266,0.043667145835099654,400,1.0435344911305628,0.06370832444150096,377,1.0534688351172805,0.10423664179610102,359,,,,0.001099537,,95
00:01:40.0,0.9963979855508001,0.055389986846328586,387,0.9890730808819037,0.04341294470648279,399,1.027912462594254,0.05748118053669956,371,1.0550132801874006,0.09025825250415008,364,,,,0.001157407,,100
00:01:45.0,0.9995200357632069,0.054915686892452464,368,0.9882705345465453,0.04448994569931009,405,1.0221278433647714,0.05911957050025735,371,1.0606311519965135,0.1165001490543084,366,,,,0.001215278,,105
00:01:50.0,1.0026564588766962,0.0584861649116913,385,0.9922913302835675,0.047683818435517104,406,1.012239338400724,0.056024110835807196,380,1.0565999619502189,0.07633289107331627,357,,,,0.001273148,,110
00:01:55.0,1.006406715261144,0.05841411978137396,380,0.9884589871062179,0.04412666989147605,395,1.0059580722969133,0.054174822506680625,376,1.058894803171615,0.11301090826048663,359,,,,0.001331019,,115
00:02:00.0,1.0075799106356782,0.05809984347121307,377,0.9916228460118801,0.04538927180301523,391,1.0015263367757663,0.05261816381820719,379,1.0463620456972798,0.08369445217245125,368,,,,0.001388889,,120
00:02:05.0,1.0110388182008052,0.05577719861417542,378,0.9931369371651404,0.04697992460431136,397,0.9977014060664192,0.05280929744151738,373,1.0345108556032152,0.08390834289992967,371,,,,0.001446759,,125
00:02:10.0,1.0111018626911306,0.05726587685473196,381,0.9981608059530445,0.049837975294370396,399,0.9952513982475429,0.05343577733231903,382,1.015285594217092,0.07845674682804633,372,,,,0.00150463,,130
00:02:15.0,1.0078979122284983,0.05719213633264994,389,1.0008493083275207,0.050073533277719365,384,0.9987263260685627,0.05483756045179918,378,1.007755361502564,0.08024912077210633,376,,,,0.0015625,,135
00:02:20.0,1.006181040516229,0.057017366357618095,377,1.0040606695145349,0.051256977202110525,407,0.9962572836003809,0.05459111374333089,389,1.001441844419923,0.09019744007272647,385,,,,0.00162037,,140
00:02:25.0,1.0037191346285639,0.056265523016479635,383,1.005380753197389,0.050836696384867236,394,0.9958143261855389,0.05609694258700523,366,0.9902923842019407,0.07246464944024493,381,,,,0.001678241,,145
00:02:30.0,1.0029439338584316,0.05387821028062161,378,1.0044687317999512,0.04813865360200545,401,0.9958351633995495,0.051173766317683084,370,0.989255204266657,0.09032871729356932,378,,,,0.001736111,,150
00:02:35.0,1.001475301513191,0.05457931583162242,379,1.0052525531273746,0.04894673831888914,392,1.0020183013216557,0.054229166965172854,378,0.9840754720482379,0.0923656508325787,391,,,,0.001793981,,155
00:02:40.0,0.9959357407482154,0.0543565537500238,373,1.005996814027207,0.049364812369310174,395,1.002825235763587,0.0542438608898758,377,0.9854801874370027,0.10176155661469703,391,,,,0.001851852,,160
00:02:45.0,0.9948450978162647,0.052560786420760584,383,1.0017351595228887,0.04819257571821189,395,1.0065283895102584,0.05488402934545271,380,0.9787040394474952,0.09071227616146896,375,,,,0.001909722,,165
00:02:50.0,0.9986125247448989,0.05436555955513247,381,1.0001842105851102,0.046717867401474746,404,1.0054479736091073,0.055277870591906766,372,0.9828524624154917,0.09717571904114657,391,,,,0.001967593,,170
00:02:55.0,0.9987686862689057,0.054621319178010615,378,0.9997734597573674,0.04532831615613301,403,1.0080695505595596,0.055614545660888595,382,0.978371226451124,0.07501816633867574,384,,,,0.002025463,,175
00:03:00.0,0.9992830332233711,0.05467537497749493,383,0.9945312753788957,0.046733217865767354,402,1.0078351497260964,0.05546544837347468,375,0.978867187090401,0.0928558373512493,382,,,,0.002083333,,180
00:03:05.0,1.0038228301297767,0.05524586366771085,369,0.9975650423643924,0.046734299941383825,388,1.0088341991274026,0.056634079977875604,376,0.9793066651731396,0.10815275549726873,378,,,,0.002141204,,185
00:03:10.0,1.000857616761123,0.054461121462150756,384,0.9961951728626335,0.046944730394526575,410,1.0067704206326664,0.05578889512840281,375,0.9784827664505551,0.0927915690192342,389,,,,0.002199074,,190
00:03:15.0,1.0031709191553655,0.057084111307205844,379,0.9970382047912262,0.04634860151820356,397,1.0027130187485476,0.05477908156394267,370,0.9767938162125491,0.05670478757039439,377,,,,0.002256944,,195
00:03:20.0,1.0008132306769817,0.055427878374303144,388,0.9974618021823762,0.0473778535449532,396,1.0017690599404276,0.05354156377914454,377,0.9806593315248796,0.07621264070697074,383,,,,0.002314815,,200
00:03:25.0,1.005496876856633,0.05640516048390188,373,0.9947533355010255,0.04684413856770966,399,0.9983724754873035,0.05157940049111146,380,0.9835286803469707,0.06227127710284163,387,,,,0.002372685,,205
